feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,comunalidad
pct_doctorado,0.11,0.002,0.101,0.094,0.318,-0.245,0.029,0.591,-0.134,0.398,0.364,0.156,-0.181,0.909
pct_maestria,-0.043,0.08,0.431,0.288,-0.242,0.112,-0.016,0.169,-0.111,-0.079,0.083,0.162,0.196,0.467
pct_renacyt_doc,0.068,-0.167,0.153,-0.088,-0.194,0.501,0.316,0.255,0.023,-0.237,0.267,0.025,0.085,0.653
pct_exclusiva,0.048,-0.315,0.026,-0.022,-0.035,-0.386,0.239,-0.299,-0.144,-0.13,0.12,0.339,-0.305,0.66
pct_tc,0.092,-0.214,0.159,-0.123,0.258,0.367,-0.351,0.165,0.357,0.012,-0.156,-0.007,-0.166,0.626
pct_contratado,0.094,0.423,-0.169,0.124,-0.134,0.008,0.052,-0.046,-0.06,0.019,-0.021,-0.101,-0.064,0.273
pct_ordinario,0.091,-0.414,0.153,-0.155,0.124,-0.119,-0.028,-0.005,0.14,0.002,-0.291,-0.098,-0.238,0.428
edad_media_doc,-0.082,-0.247,0.25,-0.119,0.285,-0.173,0.26,-0.094,-0.182,0.125,-0.086,-0.101,0.559,0.71
pct_fem_doc,0.233,0.245,0.032,0.026,0.37,0.142,0.095,-0.108,-0.035,-0.202,-0.157,0.156,-0.163,0.412
pct_fem_mat,0.192,0.195,-0.169,-0.107,0.38,0.009,0.098,0.051,-0.102,-0.358,-0.026,0.202,0.188,0.488
pct_discap,-0.189,-0.13,-0.167,-0.161,-0.287,-0.168,0.016,0.372,0.207,-0.076,-0.327,0.342,0.236,0.684
pct_posgrado,-0.071,0.09,0.452,0.275,-0.158,-0.082,-0.001,-0.037,-0.094,-0.084,-0.329,0.165,-0.085,0.484
edad_media_mat,-0.118,0.187,0.337,0.176,0.126,-0.108,0.314,0.117,0.185,-0.169,-0.21,-0.193,-0.295,0.564
n_departamentos,0.034,0.107,-0.102,0.216,0.055,0.07,0.441,-0.166,0.568,0.484,-0.084,0.113,0.144,0.897
nota_prom_egr,0.023,0.321,0.102,-0.272,-0.051,-0.077,-0.3,0.028,-0.071,0.261,-0.274,0.344,0.036,0.556
creditos_prom_egr,-0.081,-0.227,-0.254,0.47,0.15,0.14,-0.02,0.134,-0.167,0.049,-0.136,0.092,-0.002,0.461
pct_posgrado_egr,0.066,0.219,0.288,-0.432,-0.064,-0.176,0.067,0.028,0.188,0.015,0.249,-0.173,0.012,0.49
puntaje_medio,0.351,-0.01,0.054,0.159,-0.147,-0.06,-0.144,0.036,-0.096,0.158,-0.001,-0.057,-0.015,0.236
nivel_medio,0.391,-0.076,0.055,0.094,-0.106,-0.054,-0.055,-0.0,0.01,0.12,-0.01,-0.079,0.035,0.21
pct_prod_rec,0.325,-0.08,-0.005,-0.038,-0.208,0.058,0.136,-0.1,0.166,-0.036,0.157,0.365,-0.137,0.394
antiguedad_med,0.355,-0.083,0.091,0.114,-0.065,-0.037,-0.088,-0.087,-0.075,0.06,-0.132,-0.347,0.19,0.358
n_areas_ocde,0.375,-0.114,-0.007,-0.002,-0.148,0.006,-0.046,-0.094,0.013,0.0,-0.037,0.102,0.08,0.205
pct_fem_renacyt,0.336,0.067,0.022,0.003,0.157,-0.07,0.081,0.161,0.03,-0.178,-0.155,0.108,0.269,0.32
ratio_mat_doc,0.005,-0.004,0.045,-0.317,-0.046,0.414,0.315,-0.046,-0.477,0.382,-0.26,0.053,-0.179,0.853
ratio_egr_mat,-0.161,-0.014,0.282,0.1,0.232,0.18,-0.288,-0.398,0.072,0.099,0.275,0.315,0.163,0.66
